,userID,smoker,drink_level,dress_preference,transport,budget
0,U1001,1,1,0,1,1
1,U1002,1,1,0,1,0
2,U1003,1,0,1,1,0
3,U1004,1,1,0,1,1
4,U1005,1,1,2,1,1
5,U1006,0,0,2,0,1
6,U1007,1,0,0,1,0
7,U1008,1,0,1,1,0
8,U1009,1,1,1,1,1
9,U1010,1,0,2,0,1
10,U1011,1,1,2,1,1
11,U1012,1,0,1,1,1
12,U1013,1,1,2,1,1
13,U1014,1,1,0,1,1
14,U1015,0,0,0,1,1
15,U1016,1,0,0,1,1
16,U1017,1,0,1,1,1
17,U1018,0,0,1,1,0
18,U1019,1,0,2,1,1
19,U1020,1,1,2,1,1
20,U1021,1,0,2,0,1
21,U1022,1,0,1,0,1
22,U1023,1,0,0,0,0
24,U1025,1,0,2,1,1
25,U1026,1,1,1,1,1
26,U1027,0,0,2,1,0
27,U1028,1,1,2,1,1
28,U1029,0,0,1,1,0
29,U1030,1,0,1,1,1
30,U1031,1,1,0,1,1
31,U1032,1,1,1,1,1
32,U1033,1,0,2,1,0
33,U1034,1,0,0,1,1
34,U1035,0,0,2,0,1
35,U1036,1,0,0,1,1
36,U1037,1,0,2,1,0
37,U1038,0,0,2,1,0
38,U1039,1,0,2,1,1
39,U1040,1,1,2,1,1
40,U1041,1,1,2,1,1
41,U1042,1,1,2,0,2
42,U1043,1,1,2,1,1
43,U1044,0,0,0,0,1
44,U1045,1,0,1,0,2
45,U1046,1,0,2,0,1
46,U1047,1,1,2,1,1
47,U1048,0,0,2,1,1
49,U1050,1,0,2,0,1
50,U1051,1,0,2,1,1
51,U1052,0,0,2,1,0
52,U1053,1,0,0,1,0
53,U1054,1,0,1,1,1
54,U1055,1,1,2,0,1
55,U1056,1,0,0,1,1
56,U1057,0,0,1,1,1
57,U1058,1,1,1,1,0
58,U1059,1,1,1,1,1
59,U1060,1,0,1,1,1
60,U1061,1,0,2,0,1
61,U1062,1,0,0,0,1
62,U1063,1,0,1,1,1
63,U1064,1,0,1,1,1
64,U1065,1,1,1,1,1
65,U1066,1,1,0,1,0
66,U1067,1,1,2,1,1
67,U1068,1,0,0,1,0
68,U1069,1,0,2,1,1
69,U1070,1,0,0,1,0
70,U1071,1,1,1,0,2
71,U1072,1,0,2,1,1
72,U1073,1,1,0,0,1
73,U1074,0,0,2,0,1
74,U1075,1,0,0,0,1
75,U1076,1,0,1,1,1
76,U1077,1,0,1,1,1
77,U1078,0,0,0,0,1
78,U1079,1,1,1,1,1
79,U1080,0,0,1,0,0
80,U1081,1,0,0,1,0
81,U1082,0,1,0,1,1
83,U1084,0,0,1,1,1
85,U1086,1,0,2,0,1
86,U1087,1,1,2,1,1
87,U1088,1,0,0,1,1
88,U1089,0,0,0,1,0
89,U1090,1,0,2,0,1
90,U1091,1,0,2,0,0
91,U1092,1,1,1,1,1
92,U1093,0,0,2,0,1
93,U1094,1,1,0,1,1
94,U1095,1,1,1,1,1
95,U1096,1,1,1,1,1
96,U1097,1,1,1,1,1
97,U1098,1,0,1,1,1
98,U1099,0,0,0,1,2
99,U1100,1,0,1,1,1
100,U1101,1,0,2,0,0
101,U1102,1,0,2,1,0
102,U1103,1,1,1,1,1
103,U1104,0,0,2,0,1
104,U1105,1,0,1,1,1
105,U1106,1,0,0,0,1
106,U1107,1,1,2,0,2
107,U1108,1,1,0,1,1
108,U1109,1,1,1,1,0
109,U1110,1,1,2,0,1
110,U1111,0,0,1,0,1
111,U1112,0,0,1,0,1
112,U1113,1,0,1,1,1
113,U1114,1,1,2,1,1
114,U1115,0,0,1,1,0
115,U1116,1,0,1,1,1
116,U1117,1,1,2,1,1
117,U1118,0,0,0,1,1
118,U1119,1,1,1,1,1
119,U1120,1,1,0,1,0
120,U1121,1,0,2,1,1
122,U1123,1,1,0,1,1
123,U1124,1,0,0,1,0
124,U1125,1,0,1,1,0
125,U1126,1,0,1,1,0
126,U1127,1,1,2,1,0
127,U1128,1,0,2,1,0
128,U1129,1,0,2,1,0
130,U1131,0,0,2,0,1
132,U1133,1,1,2,0,1
133,U1134,1,0,2,1,1
134,U1135,1,0,0,1,0
135,U1136,0,0,2,0,0
136,U1137,1,0,1,1,0
137,U1138,1,0,1,1,1
